name|line
Itaru|Huh? Wasn’t that one of your stories? If it wasn’t, then that would make the timestamp weird.
Rintaro|I always speak the truth! If you don’t trust me, I’ll show you my send history.
Rintaro|It’s gone...
Rintaro|Where did it go? I could’ve sworn I sent it just before 1 PM.
Itaru|Oh yeah! That’s when the discharge phenomenon happened! The show I was watching was about to end.
Rintaro|I get it... So that’s what happened.
Kurisu|Uh, what?
Itaru|Oh, this is one of Okarin’s usual habits, so don’t mind it. Seriously.
Rintaro|Silence! I’ve reached the answer, and now the world will tremble!
Rintaro|The disappearance of my mail, the strange timestamp, and the sudden electrical discharge must be...
Rintaro|Related somehow!
Itaru|...
Kurisu|...
Rintaro|...
Kurisu|...And?
Rintaro|Huh?
Kurisu|I understand that they’re related somehow. But how?
Rintaro|It’s your job to figure that out, Christina.
Kurisu|Hashida-san, talking to this guy’s so tiring.
Itaru|Everyone’s like that at first. The trick is to not take him seriously.
Rintaro|And you call yourself my right-hand man!?
Rintaro|Daru, describe the PhoneWave (name subject to change)’s status when the discharge phenomenon occurred.
Itaru|It was kind of a mess. I’d connected my phone to the PhoneWave, and I was testing to see if I could control it with the X68000.
Mayuri|I’m home! So hungry...
Mayuri|Time to eat some chicken! Juicy Chicken Number One♪
Mayuri|Okarin, did you buy the bananas? Okarin?
Mayuri|Huh? We have a guest?
Mayuri|I’m Mayushii. Nice to meet you!
Kurisu|I’m Makise. Apparently, I’m a lab mem now.
Mayuri|Really? That’s great! Another girl lab mem!
Rintaro|Daru, what were you doing with the X68000?
Itaru|Like I said, I was adjusting the incoming mail settings. I was monitoring the moment it received mail for remote control.
Itaru|That’s why I put it on ’freezing mode’ for 120 seconds too.
Itaru|I made it so that you can start freezing mode by computer. I tested that out yesterday too.
Rintaro|Mayuri! Insert the Juicy Chicken Number One into the PhoneWave (name subject to change)!
Mayuri|You all want some? I can give you one each.
Rintaro|So, we’ve reproduced the conditions that existed when the discharge phenomenon occurred. Right?
Itaru|Uhh, how was it again...
Rintaro|You there. Assistant!
Kurisu|Huh? Me?
Rintaro|Who else!?
Kurisu|When did I become your assistant!?
Rintaro|Just send something to my phone!
Kurisu|I don’t even know your email address.
Rintaro|What a useless assistant.
Kurisu|Don’t call me your assistant!
Rintaro|Daru, send an email from your phone!
Itaru|Uh, sure... but what?
Rintaro|Anything!
Itaru|Uhh, umm...
Rintaro|Send ’Christina’s a perv’!
Kurisu|I thought we agreed to stop saying that!
Itaru|Well, let’s compromise and go with ’Okarin’s a perv’.
Rintaro|You traitor!
Kurisu|Good job, Hashida-san!
Mayuri|Oh no! Mayushii’s bananas!
Mayuri|They became gelbanas...
Kurisu|We experimented on them.
Mayuri|But they were Mayushii’s...
Itaru|Want me to send the mail now?
Kurisu|You’ll be reimbursed later. By Hououin-san, that is.
Rintaro|Why me!?
Mayuri|Geez! Why do you always have to experiment on Mayushii’s food?
Mayuri|Ah! Don’t tell me you’re experimenting on the chicken too?
Rintaro|We are.
Itaru|’Kay, sending it now. Sending, sending, click.
Rintaro|Wait! Don’t open that!
Mayuri|Huh?
Mayuri|Wawah!
Kurisu|An electrical discharge!
Itaru|Are we gonna die!?
Rintaro|E-everyone okay?
Itaru|S-somehow.
Kurisu|That was definitely more than two seconds.
Mayuri|O-Okarin? Umm, what just happened?
Rintaro|Are you okay? No burns or anything?
Mayuri|Hmm... It doesn’t hurt anywhere, so I think I’m okay...
Kurisu|H-hey! Look at this!
Itaru|What the hell? How did that... Yeah, it’s a microwave, but it’s not heavy enough to make a hole in the floor...
Kurisu|This can’t be caused by electrical discharge. Some other phenomenon?
Rintaro|Heh... heh heh heh... MUHAHAHA! Just as my calculations predicted!
Itaru|...So, about Mayu-shi’s chicken.
Mayuri|Eh?
Mayuri|Ahh! M-Mayushii’s chicken is all burnt black...
Rintaro|Juicy Chicken Number One made a noble sacrifice for the progress of science. Let us pray for his happiness in the next life.
Kurisu|The chicken doesn’t matter! Right now, we need to determine what happened with the Phonewa--
Mayuri|It doesn’t matter? That’s so mean, uh, Christina-chan...
Kurisu|Hey, Hououin Kyouma! Do something about this! Mayushii-san learned my name wrong!
Itaru|More importantly, we need ventilation. *cough cough*
Rintaro|Silence, all of you!
Rintaro|Muhaha! Muhahaha! MUHAHAHAHA!
Rintaro|It all connects. There’s a meaning behind this series of events, and only one true answer.
Rintaro|I’ve discovered the PhoneWave (name subject to change)’s true hidden function!
Rintaro|This isn’t intuition. That’s right. This is conviction!
Kurisu|Just spit it out. What do you think it is?
Rintaro|First, let me say one thing. The greatest inventions are created by accident. This we call serendipity.
Kurisu|Get on with it.
Rintaro|The mail was sent to the past.
Rintaro|The chicken returned to its frozen state.
Rintaro|The plucked banana returned to the bunch.
Kurisu|...No way.
Rintaro|Yes way!
Rintaro|The PhoneWave (name subject to change)...
Rintaro|Is a time machine!
Itaru|...
Kurisu|A time machine? A time machine!? It can’t be!!
Rintaro|Hey, wanna go to Sanbo for some beef bowl?
Itaru|Nah, too much trouble...
Rintaro|Aren’t you hungry?
Itaru|Yeah, but...
Rintaro|Hmph. You’re such a bum.
Itaru|Haa...
Itaru|The Large Hadron Collider sure is cute...
Rintaro|W-what!? What did you just say!?
Itaru|Large Hadron Collider. You don’t know about it?
Itaru|Owowowowowow, what are you doing!?
Rintaro|Are you conscious?
Itaru|Of course, man.
Rintaro|What is this Large Hadron Collider thing?
Itaru|You know. It’s what SERN uses to do their experiments. LHC for short.
Itaru|It’s seriously moe. Recommended.
Rintaro|You’re lusting for something that’s not even humanoid?
Itaru|Of course not. But there’s something about it that gets me excited, you know? It makes me smile, you know? Don’t you feel that?
Rintaro|Come to think of it, I remember you said that you found factories and the undersides of highways irresistible or something.
Itaru|Yeah. Same thing.
Rintaro|Where does it end?
Itaru|Life’s too short. I don’t want to limit my interests, you know?
Rintaro|SERN...
Rintaro|John Titor!
Itaru|Oh yeah. That guy you mentioned earlier. He’s the guy @channel’s going crazy about, isn’t he?
Rintaro|That one might be an impostor. I was talking about the John Titor who appeared ten years ago.
Itaru|He appeared ten years ago? The same guy?
Rintaro|Anyway, John Titor mentioned SERN.
Rintaro|Titor made a prediction. Namely, that before the year 2034, SERN will develop a time machine!
Itaru|A time machine? That’s a timely topic.
Itaru|But that wasn’t just ten years ago. This new Titor said the same thing.
Rintaro|It doesn’t matter if it was ten years ago or ten seconds ago. That’s not the point, Daru.
Rintaro|This coincidence could very well be the choice of Steins Gate!
Itaru|Can we trust this Titor guy?
Rintaro|It doesn’t matter if we trust him or not! Now we have something in common -- a time machine.
Rintaro|We should investigate SERN! We’ve got nothing to lose!
Rintaro|Tell me everything you know about SERN.
Itaru|Sure thing. My SERN folder is smoking hot!
Itaru|SERN is the world’s largest particle physics research institution. It’s popularly called the ’European Laboratory for Particle Physics’, or the ’European Organization for Nuclear Research’.
Itaru|It’s close to the border of Switzerland and France, on the outskirts of Geneva. It’s famous as the birthplace of HTML, HTTP, and the World Wide Web.
Rintaro|The World Wide Web? You mean the internet?
Itaru|Bingo. That thing at the beginning of most URLs.
Itaru|Most people aren’t aware, but there’s a Japanese research team working at SERN too.
Rintaro|What sort of research does SERN do?
Itaru|Particle physics, mostly.
Itaru|SERN can do experiments no one else can, because they have the biggest particle accelerators in the world.
Itaru|The Low Energy Antiproton Ring, the Proton Synchrotron Booster, the Large Electron-Positron Collider.
Itaru|And the big boss is the largest accelerator in the world, the LHC... Large Hadron Collider-tan.
Itaru|The LHC is a 27km-long circular tunnel built underneath SERN’s headquarters.
Itaru|Its purpose is to smash protons together in the hope of creating unknown elementary particle reactions. They started experimenting last year.
Itaru|Before they started, there were rumors that the experiments might create mini black holes.
Itaru|Oh no! Those mini black holes will swallow the earth! The universe is in danger! etc.
Rintaro|What’s the possibility of that actually happening?
Itaru|100% that it... won’t. SERN officially denies it.
Itaru|Let’s say a mini black hole was formed. The amount of energy would be so tiny that it would disappear instantly upon formation. It would be impossible for it to swallow the world.
Rintaro|But where there’s smoke, there’s fire.
Rintaro|It’s me. Hehehe, don’t be surprised. I’ve sniffed out an evil conspiracy.
Rintaro|...John Titor. SERN. You see where I’m going with this? ...Yeah, that’s right. They’re likely connected to the Organization.
Rintaro|Hmph, coincidence? Come now, don’t disappoint me. ...What? Evidence? Well, if you must know... whispers. Whispers of my mad scientist intuition.
Rintaro|Those bastards are trying to destroy the world. ...Yeah, with mini black holes. But what if we were to steal that technology? What then?
Rintaro|...Heh heh heh. Of course. Who do you think I am? Everything is the choice of Steins Gate. El Psy Kongroo.
Itaru|Just who the hell are you fighting with?
Rintaro|Daru, I know what we must do.
Itaru|Whuzzat?
Rintaro|Don’t you ’whuzzat’ me! You’re supposed to grin like you know exactly what I’m talking about! What kind of super hacka are you!?
Itaru|You always give such half-baked explanations. Try to sound intelligible before you try to sound intelligent.
Rintaro|You are a super hacka.
Itaru|Stop saying hacka. At least say hacker.
Rintaro|See where I’m going with this?
Itaru|No, not at all.
Rintaro|Hack into SERN.
Itaru|...Is that some kind of joke?
Rintaro|I know you can do it, Daru. Expose their dastardly deeds and find any hints you can about the time machine.
Itaru|Dastardly deeds? You’re just imagining that stuff, Okarin.
Rintaro|We stand at a crossroads. Will the PhoneWave (name subject to change) become a functional time machine, or will it die as garbage in lab storage?
Itaru|You serious?
Rintaro|I’m always serious!
Itaru|I’m not responsible for the consequences, got it?
Rintaro|Deal. Get started.
Itaru|Let’s do this!
Rintaro|For your payment, I’ll deposit a week’s supply of potato chips into your Swiss bank account.
Itaru|...
Rintaro|Anyway, I’m gonna sleep. It’s all yours.
???|Anyone home?
Girl|Hi! I’m from the Braun Tube Workshop.
Girl|The TV you sent in for repairs has been fixed. Mind picking it up?
Girl|Why do we have to be sneaky?
Rintaro|Currently, my genius partner in crime is executing an important mission. I don’t want to bother him.
Suzuha|Hmmm. What exactly do you guys do?
Rintaro|I told you before that learning our secrets could put you and everyone you know in grave danger.
Suzuha|You’re called the Future Gadget Laboratory, right?
Rintaro|How did you know that!? I never told you. Wait, are you an Organization spy!?
Suzuha|That’s what it said on your mailbox.
Rintaro|...Oh.
Rintaro|N-now that you know, it’s not like you can un-know. I’ll give you the short explanation. But you must not tell a soul.
Rintaro|We are the Future Gadget Laboratory, dedicated to defeating the evil organization that rules the world from the shadows. Muhahaha!
Suzuha|Wow...
Suzuha|Is the evil organization SERN?
Rintaro|...!?
Rintaro|Y-yeah, but...
Suzuha|Oh! So I was right? Those guys really are a contemptible lot, aren’t they?
Rintaro|How did you know we were hacking into SERN!?
Suzuha|What? You’re hacking them? Right now?
Rintaro|Just answer my question! How did you know about our business with SERN!?
Suzuha|Ah, umm, well...
Suzuha|Weeell, ahahah, actually, I overheard you this afternoon. If you stand here, you can hear stuff from the window.
Suzuha|I’ve only been working here for a day, but...
Suzuha|I’ve got a lot more free time than I expected. I’ve gone out four or five times today. Figured I’d reconnoiter the front of the store, see if I couldn’t spot any customers.
Suzuha|So that’s when I heard you guys talking from the second floor.
Suzuha|I got interested and looked it up online. Now I know all the rumors about SERN.
Rintaro|...A-anyway, you must not tell anyone else.
Suzuha|Ah, yeah. I understand. I’m actually tight lipped, so don’t worry.
Rintaro|Where’s the manager?
Suzuha|He left right after he finished repairing your TV.
Suzuha|Sooo, here’s the fixed TV.
Suzuha|He said to charge 1000 yen.
Suzuha|Thanks for your patronage. Well, just take it away.
Rintaro|By myself? Are you joking?
Suzuha|Huh? Didn’t you bring it here by yourself?
Suzuha|I guess I can help, but... oh, I see. So we’re already in the age where women do physical labor.
Rintaro|Hmph. I don’t remember anyone asking for your help. Honestly, getting help from a girl like you would just hurt my pride.
Suzuha|Wow!
Suzuha|That was so manly! I might be falling for you.
Rintaro|Hmph, you think you can trick me like that? You’re lying, aren’t you?
Suzuha|Eh? What makes you think that?
Rintaro|It’s one of my powers... Coloring Gentleman.
Suzuha|Y-you have powers?
Suzuha|Are you some kind of esper?
Suzuha|Are there a lot of espers like you?
Rintaro|Of course not. I am special!
Suzuha|Oh... You had me scared for a second there. But still, it’s amazing that people like you exist. Maybe SERN is the reason there aren’t more where I came from...
Suzuha|By the way, does the ability to see through lies have any combat application at all?
Suzuha|If it were me, I’d want perfect accuracy within a thousand meters, or ultra-fast reflexes that let me tear my enemy’s limbs off before they can react.
Rintaro|You... you’re an Organization assassin, aren’t you? You must be the one they call Miss Golgo! Who hired you!?
Suzuha|Nobody hired me. What’s a Golgo?
Suzuha|Anyway, do you have any other powers?
Rintaro|Even if I did, there’s no way I’d tell a hitman hired to kill me.
Suzuha|I’m not going to kill you.
Rintaro|Revealing my powers would be suicide. They are most effective with the element of surprise. In other words, they’re for me to know and you to find out!
Suzuha|Meanie.
Rintaro|Say what you like.
Rintaro|...
Suzuha|Why the frown? Did you get a death notice?
Rintaro|A what?
Suzuha|...J-just wondering.
Suzuha|Umm, what I meant to ask was if you got some unpleasant news.
Rintaro|...You could say that.
Rintaro|There’s this woman who’s obsessed with finding an IBN 5100.
Suzuha|An IBN 5100?
Rintaro|You know about them?
Suzuha|Yeah...
Rintaro|I see. So the IBN 5100 legend is famous, huh.
Suzuha|Y-yeah, that’s it. I heard the urban legend from someone. How much do you know about it?
Rintaro|I actually tried looking for an IBN 5100, but in the end, I came to the conclusion that there isn’t one in Akiba.
Suzuha|...I see. Well, that’s true.
Rintaro|You sound like you know something.
Suzuha|Eh? Well, I do and I don’t, I guess.
Suzuha|I don’t know about it personally, but I happened to hear about it from a knowledgeable acquaintance of mine or something like that. Aha, ahaha.
Suzuha|...
Rintaro|Who are you?
Suzuha|Haaahh...
Suzuha|I was thinking of giving you a bunch of interesting information on the IBN 5100...
Suzuha|But when you look at me like that, I don’t feel like it anymore.
Rintaro|I’m not even interested in the IBN 5100.
Rintaro|You don’t have a shred of credibility. I have no way of knowing if that ’interesting information’ of yours is true or not.
Suzuha|Wow, that’s harsh! Well, I admit I am acting kinda suspicious.
Suzuha|I won’t tell you, but I’ll give you a hint.
Suzuha|And then you’ll writhe in agony when you can’t figure it out!
Suzuha|Truth is, the IBN 5100 has a hidden function.
Rintaro|If I remember correctly, the IBN 5100 can do something or other with a proprietary programming language.
Suzuha|No way! How did you know!? Tell me, tell me!
Rintaro|It’s another one of my powers -- Leading Question. I can read your heart of hearts.
Suzuha|What!? No fair!
Rintaro|I see everything, Amane Suzuha! Resistance is futile.
Suzuha|Kuh!
Suzuha|Anyway, the IBN 5100 has a hidden function!
Suzuha|It can decipher IBN’s proprietary programming language, which was written before APL and BASIC became widespread. Isn’t that surprising?
Suzuha|Now it’s a dead programming language that can only be deciphered with an IBN 5100.
Suzuha|That’s why IBN 5100s are so rare.
Itaru|...
Mayuri|Tutturu♪ Good morning!
Rintaro|What are you doing here so early?
Mayuri|Well, I heard you guys had stayed up two nights in a row, so I brought you some goodies.
Rintaro|Excellent. Good job.
Mayuri|Tada! Canned oden!
Mayuri|It’s a present from Mayushii. They’re 270 yen each, so savor it, okay?
Rintaro|I’ve been getting tired of eating bananas and chicken lately. Buy these instead from now on.
Mayuri|But Mayushii doesn’t have enough pocket money to splurge like this all the time.
Mayuri|And Mayushii loves bananas and chicken, so she’ll keep buying them.
Mayuri|But wait, there’s more. Tada♪
Mayuri|RaiNet sausage! It comes with an Upa bottle cap as a bonus! I really wanted it, so I bought it.
Mayuri|So how’s Daru-kun?
Rintaro|He’s in the midst of a hard fight. He should at least rest a little. I mean, I never said he had to do it all at once.
Mayuri|Daru-kun’s super hacka spirit is on fire!
Itaru|Don’t say hacka!
Mayuri|He sure is tense...
Mayuri|But, isn’t hacking bad? Mayushii doesn’t want you to do bad things...
Rintaro|I would be a fool to let Daru’s super hacka... I mean, hacker skills go to waste.
Rintaro|Besides, we’re doing this to expose SERN’s wrongdoings. This is a war against the dark forces that secretly rule the world!
Mayuri|Bad things are bad.
Rintaro|Mayuri, want to trade my sweet potatoes for your beef?
Mayuri|Ehh? If you want to trade, I’d rather have your quail egg.
Rintaro|Don’t be ridiculous! Next to beef, quail eggs are my favorite.
Mayuri|But Mayushii likes quail eggs too.
Rintaro|Settle for my chikuwa.
Mayuri|Mm... okay. Chikuwa’s better than sweet potatoes.
Itaru|Soon... If I can just get the SQL table, I’ll have more than enough passwords... geheheh... you’re no match for me...
Itaru|Oho! Comeoncomeoncomeon, mmyes, mmyes, hooah! You can’t hide from me, you naughty thing you! How does it feel to be naked? Hyahaaa! Hahaha!
Itaru|Oh yes! YESSSSSSS! Matching ID and password! Login complete, hell yeah! Taste it! YESYESYES!
Rintaro|Did you get it!?
Itaru|Mission complete.
Rintaro|Really!?
Mayuri|Wow, that’s amazing! I don’t really get it, though.
Itaru|An oden can’s the best after a job well done.
Rintaro|Well done! You really are the world’s greatest super hacka!
Itaru|Hacker.
Rintaro|H-hacker! I’m glad you’re on my side.
Rintaro|So, did you find out how they’re planning to destroy the world?
Itaru|I haven’t looked yet, man. All I did was get us connected.
Itaru|But it’s all downhill from here.
Rintaro|I’m sorry if you’re tired, but please start checking. The keys to this conspiracy have got to be in there.
Itaru|Yeah, yeah, I’ll do it. But let me eat this oden can first.
Itaru|The question is who this password belongs to.
Mayuri|Why is that?
Itaru|I went into SERN’s database and got a data table. From there, I focused on people with simple passwords like 11111111 and ABCDEFGH to get my hands on an ID.
Itaru|It’d be awesome if this turns out to be the server admin’s logon, but I don’t think we’re that lucky.
Mayuri|In Japanese please?
Rintaro|Same.
Itaru|Basically, if this is the server admin’s password, we can taste every inch of SERN’s luscious, luscious flesh. But if it’s just an ordinary researcher’s password, then we can only see SERN’s boobs.
Mayuri|Daru-kun, that’s naughty!
Rintaro|Quit the erotic examples. Basically, you mean there’ll be limits to what information we can access.
Itaru|Exactly.
Itaru|Anyway, it’s only a matter of time before I get a server admin’s password. Let’s save that for later. I’m really sleepy now.
Itaru|Oh! Looks like our ID belongs to an accelerator division chief.
Rintaro|So it’s not a server admin...
Itaru|It would take a miracle to get one on our first try. How many staff members do you think SERN has?
Mayuri|How many?
Itaru|Over 6000.
Itaru|Well, for now, let’s look at this accelerator division chief. Uh, his name is...
Itaru|Jack. Let’s look at his email log.
Mayuri|Oh no... that makes Mayushii’s head hurt...
Rintaro|Daru, what does that say?
Itaru|Need to translate it...
Rintaro|This is a job for Dr.Excite!
Itaru|Nah. I’ve got a better idea.
Itaru|Looks like a new year’s greeting. Something about going on vacation in Spain... lucky bastard.
Itaru|If we keep scouring the log like this, we can also identify the server manager.
Mayuri|You know, looking through someone else’s email without permission makes me feel really guilty...
Rintaro|I abandoned guilt when I chose the path of Evil long ago! Muhahaha!
Rintaro|Let the responsibility be mine. I will not ask you to answer for my crimes.
Itaru|What a guy! I’d let Okarin do me in the butt.
Rintaro|I decline your offer.
Rintaro|Now get peeking, Daru!
Mayuri|Okarin, you’re bad... You make Mayushii sad.
Rintaro|LHC experiment reports? There could be a hint about time machines in there. We should try reading them.
Itaru|This is definitely a crime, though...
Itaru|This is encrypted.
Rintaro|Tch, of course it isn’t that simple...
Itaru|Well, cracking this should be a piece of cake. 
Itaru|Umm, translated into proper Japanese, it’s...
Itaru|’Hi, Pole!’
Rintaro|That acting’s completely unnecessary.
Itaru|Aw...
Itaru|’Uploaded today’s data to the server. The LHC is performing admirably. Can’t say the same about the rest, though.’
Itaru|’This baby’s fickle as a cat, but it was surprisingly obedient this month. It would be great if it stayed like this forever.’
Itaru|’But don’t you think this work is unrewarding? This kitten -- this 27-kilometer long kitten, HAHAHAHA -- has been in operation for nine years.’
Itaru|’Our research will change the course of history, yet only a small group of people are allowed to see it.’
Itaru|’Of course, if it were ever officially released, it would be one hell of a scandal.’
Itaru|’People would probably say something like, ’Call Robert Zemeckiff to SERN right away. He could build it in less than a year.’’
Rintaro|...Nine years?
Rintaro|Do you think there were any translation errors in that email?
Itaru|If you trust the translation software, then that’s what it says. The Japanese is strange in places, though.
Rintaro|But that doesn’t make sense.
Rintaro|I thought the LHC was only put into operation around spring last year. But this email makes it sound like it’s been in operation for nine years.
Itaru|That is strange.
Rintaro|Keep looking, Daru. Search for anything related to time machine research.
Itaru|Seriously?
Itaru|Hmm, there aren’t any emails with the phrase ’time machine’ in them...
Itaru|But the phrase ’Z Program’ was used hundreds of times in the past few months.
Itaru|Do you think it could be about the current LHC experiments?
Rintaro|What is it specifically? Black hole formation experiments?
Itaru|Hmmm, let’s try looking for a document... ah, found one.
Itaru|Oho! Looks like this is top secret stuff from France, England, and Holland.
Rintaro|...Government secrets?
Itaru|SERN’s not even a government organization, so why?
Itaru|Wait, should we be looking at this stuff? We might be in a little deep here.
Rintaro|I don’t care. Get me details.
Itaru|Hold on. If we get caught, we’re not getting off with an apology.
Rintaro|Are you so incompetent as to let yourself be traced?
Itaru|...I took the necessary precautions.
Rintaro|Then I fail to see the problem.
Itaru|Well, thanks.
Itaru|Hmm... ’May 14th, 137th Z Program Experiment Report’...
Itaru|’Because we have already succeeded at creating mini black holes, the report is omitted. First--’
Rintaro|Stop! Stooopp!
Rintaro|So SERN did use the LHC to generate mini black holes!
Itaru|But they announced that their experiments still haven’t succeeded, so why...
Itaru|But the goal of the experiment wasn’t even to generate mini black holes. It was to create new elementary particle reactions...
Rintaro|But in reality, they’re already generating those mini black holes.
Itaru|Sure does seem like it.
Rintaro|What does it say next?
Itaru|Umm...
Itaru|’Results: Error. Human is dead, mismatch. For details, consult Jellyman’s Report No.14.’
Itaru|’We propose that further experiments be halted until the lifter is perfected and all local field conformity points are online.’
Rintaro|Wh-what does that mean?
Itaru|’Human is dead’ means somebody died, right?
Rintaro|Wha...
Rintaro|What is this Jellyman’s Report?
Itaru|I can’t find it in Jack’s email. We’ll need an account with more privileges.
Rintaro|Then we’ll save that for next time. Search for something related to time machines.
Itaru|You know we’re not going to find anything, right?
Itaru|Words like ’accelerator technical committee,’ and ’LHC project lead’ came up, so I guess we should look for an ID from there. Maybe then we can get more information.
Rintaro|You can’t look it up with the ID you have?
Rintaro|Well, I guess let’s call it a day.
Itaru|By the way, what we just saw was SERN’s biggest server, but I also found a strange database on the network.
Rintaro|Strange how?
Itaru|It was buggy.
Rintaro|Buggy?
Itaru|I mean, it was full of some kind of code...
Itaru|But the code was gibberish. Utterly impossible to decode, thank you very much.
Rintaro|Could it be encrypted?
Itaru|Not by any algorithm I’ve ever seen. It wouldn’t even work as a program. It just bothers me. Why would they have a database that nobody could ever use?
Rintaro|That is strange.
Itaru|I’ll see what I can find out.
Itaru|Agh! I don’t get it! I don’t get it at all!
Itaru|You call this a program, dumbass!? Go to hell!
Mayuri|I think you should stop...
Itaru|My head is spinning... I can’t take it any more... fweh, fweheh...
Rintaro|Good work. Go rest, Daru.
Itaru|Yeah... I’ll do that.
Itaru|Anyway, even if it isn’t a bug, but an actual program, only the guys who made it could understand it.
Itaru|I’ve never seen anything like it...
Rintaro|...!
Rintaro|...
Rintaro|Heh heh heh... of course. Everything is falling into place.
Mayuri|Whatcha talking about?
Rintaro|John Titor... SERN... the time machine...
Rintaro|Daru, I think I know how we can read that program.
Itaru|Seriously? How?
Rintaro|If my hunch is correct, John Titor should know!
Itaru|What? There’s no way!
Rintaro|Say what you like. We’ll know soon enough.
Rintaro|It’s here!
Rintaro|Heh, heh heh heh... Just as I suspected.
Itaru|Huh?
Rintaro|I was right, Daru.
Rintaro|I know where that data comes from.
Itaru|An IBN 5100!
Suzuha|It can also decipher IBN’s proprietary programming language, which was written before APL and BASIC became widespread. Isn’t that surprising?
Suzuha|Now it’s a dead programming language only decipherable with an IBN 5100.
Rintaro|Heh heh heh. No... NO, I SAY! This discovery of ours was inevitable from the start! For this is the choice of Steins Gate!!
Itaru|Wait, so SERN has an IBN 5100 database? Those machines aren’t compatible with any modern software. Why would they do something like that?
Rintaro|Answer me this. What is the best way to secure a machine against external cracking?
Itaru|Well, make it standalone, of course.
Itaru|If only IBN 5100s can read it, then I guess that’s kind of standalone...
Rintaro|Which means that SERN’s keeping their most important secrets hidden there!
Itaru|How do you know about that hidden function anyway?
Rintaro|It is recorded in my brain’s extensive Index Librorum Prohibitorum.
Itaru|Very original.
Rintaro|Mayuri! We have important matters to discuss. Assemble!
Mayuri|Hm? I can hear you fine from here.
Rintaro|It doesn’t matter whether you can hear or not!
Rintaro|This meeting concerns the fate of the Future Gadget Laboratory -- nay, the fate of mankind!
Rintaro|So I want it to feel more secretive, like we’re scheming or something!
Mayuri|Mayushii won’t participate in your evil schemes.
Rintaro|Listen, you two! Henceforth, the Future Gadget Laboratory shall begin emergency top secret operations!
Rintaro|This shall be the first stage in our war against the dark powers that manipulate the world from the shadows! Our enemy is SERN, a scientific institute engaged in the most evil research imaginable!
Itaru|Okarin, you’re too loud... and I’ve been up all night.
Rintaro|Understand? The world has no need for two mad scientists. Before they can get ahead of us, we must outwit them!
Itaru|Who are they?
Rintaro|You know... them.
Mayuri|Um, Mayushii doesn’t get it at all...
Rintaro|Basically, we must obtain the phantom retro PC... the IBN 5100, said to be located somewhere in Akiba.
Itaru|I’ll pass on the search. I’m seriously tired. Besides, I want to keep combing SERN’s server.
Rintaro|That’s true...
Rintaro|Well, you’re the only one who can do that, Daru, so I’ll leave it to you.
Rintaro|So, the IBN 5100 investigation squad shall consist of Mayuri and me--
Mayuri|I can’t...
Mayuri|I have to make costumes, and I have work, too.
Rintaro|...
Rintaro|Fine. I’ll manage alone somehow. It’s useless to try and stop me. Understood?
Mayuri|Are you going to do something bad again?
Itaru|Nah, he’s all talk.
Suzuha|Hiya, Okabe Rintaro.
Rintaro|Pretty nice technique there.
Suzuha|Bicycles are fun, aren’t they? I’d never ridden one before coming here.
Rintaro|You’d never ridden a bicycle!?
Suzuha|Nope. I had ridden motorcycles before, though.
Rintaro|Going to work now?
Suzuha|Yup.
Rintaro|That’s perfect. There’s something we need to talk about.
Suzuha|Ehh? But I need to get the shop ready for business.
Rintaro|Just what does this crumbly old Braun Tube Workshop need to get ’ready’?
Suzuha|Nothing, really. Geez. I just mindlessly sweep in front of the shop. If I clean inside, the boss gets angry. ’Everything’s where it needs to be,’ he says.
Rintaro|So hear me out, then.
Suzuha|But I’m so tired.
Rintaro|You would be... unwise to anger me.
Suzuha|Does it have to be right now?
Suzuha|Then go ahead.
Suzuha|But keep it short, okay?
Rintaro|Where is the IBN 5100?
Suzuha|No intel yet.
Rintaro|What?
Suzuha|I don’t know.
Rintaro|But by the way you talked yesterday, it sure sounded like you knew.
Suzuha|No, I know someone who knows.
Rintaro|Then take me to them. I won’t take no for an answer. Refuse, and I’ll show you a living hell.
Suzuha|I can’t.
Suzuha|I can’t introduce you even if I wanted to.
Rintaro|What do you mean? Don’t tell me they’re an imaginary--
Suzuha|They’ve been dead for years.
Rintaro|...
Rintaro|I’m sorry.
Suzuha|Nah, it’s okay. Anyway, there’s nothing I can tell you. Honestly, I’m hoping you can tell me something.
Tennouji|Hey, part-timer! It’s only your third day and you’re late!?
Suzuha|Sorry, boss! The streets were a little crowded this morning.
Tennouji|If you’re not gonna take this seriously, I can always give you the boot, hear?
Tennouji|As for you, Okabe, don’t you lay a finger on my part-timer.
Rintaro|Aren’t you the lecherous one here, Mister Braun?
Tennouji|Why you. Just try saying something like that in front of Nae. I’ll murder ya. Gotta keep my honor as a father.
Tennouji|Besides, I ain’t got no use for a skinny kid like her.
Suzuha|What was that!? Take that back, boss!
Tennouji|What, you mad?
Suzuha|I’m not a kid! I’m a warrior!
Tennouji|Hah? What’re you talking about?
Rintaro|I like the look in your eyes, you Part-Time Warrior. They shine with the radiance of the beast unseen in modern men.
Rintaro|Never forget those eyes of yours, and you shall surely change class from Part-Time Warrior... to True Warrior.
Suzuha|But I’m already a warrior!
Rintaro|Stay diligent in your training, and you shall have a place at my side on the field of Ragnarok.
Suzuha|Ragnarok?
Suzuha|What’s that?
Rintaro|The final battle against SERN.
Suzuha|You’ve got something like that planned? Count me in if you do, but I’ve never heard of it.
